owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Anshul Kamboj,A Kamboj,Chennai Super Kings,11,after,64.0
Nishant,Dewald Brevis,D Brevis,Chennai Super Kings,11,after,35.0
Nishant,Mukul Choudhary,Mukesh Choudhary,Chennai Super Kings,11,after,0.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,11,after,59.0
Nishant,Shivam Dube,S Dube,Chennai Super Kings,11,after,23.0
Om,Akeal Hosein,AJ Hosein,Chennai Super Kings,11,after,-2.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,11,after,33.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,11,after,61.0
Prabhanjan,Digvesh Rathi,DS Rathi,Lucknow Super Giants,11,after,66.0
Prabhanjan,Josh Inglis,JP Inglis,Lucknow Super Giants,11,after,125.0
Prabhanjan,Rishabh Pant,RR Pant,Lucknow Super Giants,11,after,21.0
Sailesh,Aiden Markram,AK Markram,Lucknow Super Giants,11,after,10.0
Sailesh,Avesh Khan,Avesh Khan,Lucknow Super Giants,11,after,35.0
Sailesh,Jamie Overton,J Overton,Chennai Super Kings,11,after,91.0
Sailesh,Sarfaraz Khan,SN Khan,Chennai Super Kings,11,after,8.0
Vaibhav,Mohammed Shami,Mohammed Shami,Lucknow Super Giants,11,after,2.0
Vamsi,Mitchell Marsh,MR Marsh,Lucknow Super Giants,11,after,16.0
Vamsi,Prince Yadav,Prince Yadav,Lucknow Super Giants,11,after,4.0
