owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Rohit Sharma,RG Sharma,Mumbai Indians,11,after,38.0
Bhuvan,Virat Kohli,V Kohli,Royal Challengers Bengaluru,11,after,10.0
Nishant,Jitesh Sharma,JM Sharma,Royal Challengers Bengaluru,11,after,39.0
Om,Bhuvneshwar Kumar,B Kumar,Royal Challengers Bengaluru,11,after,133.0
Om,Josh Hazlewood,JR Hazlewood,Royal Challengers Bengaluru,11,after,29.0
Om,Rajat Patidar,RM Patidar,Royal Challengers Bengaluru,11,after,29.0
Om,Will Jacks,WG Jacks,Mumbai Indians,11,after,17.0
Prabhanjan,Naman Dhir,Naman Dhir,Mumbai Indians,11,after,74.0
Sailesh,Krunal Pandya,KH Pandya,Royal Challengers Bengaluru,11,after,103.0
Sailesh,Tim David,TH David,Royal Challengers Bengaluru,11,after,2.0
Vaibhav,Devdutt Padikkal,D Padikkal,Royal Challengers Bengaluru,11,after,19.0
Vaibhav,Suyash Sharma,Suyash Sharma,Royal Challengers Bengaluru,11,after,2.0
Vamsi,Allah Ghazanfar,AM Ghazanfar,Mumbai Indians,11,after,27.0
Vamsi,Jasprit Bumrah,JJ Bumrah,Mumbai Indians,11,after,10.0
Vamsi,Surya Kumar Yadav,SA Yadav,Mumbai Indians,11,after,2.0
Vamsi,Tilak Varma,Tilak Varma,Mumbai Indians,11,after,106.0
