match_number,match_date,team_name,team_game_number,player_name,points
55,2026-05-11,Delhi Capitals,12,AR Patel,94.0
55,2026-05-11,Delhi Capitals,12,Abishek Porel,10.0
55,2026-05-11,Delhi Capitals,12,Ashutosh Sharma,40.0
55,2026-05-11,Delhi Capitals,12,Auqib Nabi,25.0
55,2026-05-11,Delhi Capitals,12,DA Miller,88.0
55,2026-05-11,Delhi Capitals,12,KL Rahul,15.0
55,2026-05-11,Delhi Capitals,12,L Ngidi,0.0
55,2026-05-11,Delhi Capitals,12,M Tiwari,82.0
55,2026-05-11,Delhi Capitals,12,MA Starc,48.0
55,2026-05-11,Delhi Capitals,12,Mukesh Kumar,29.0
55,2026-05-11,Delhi Capitals,12,SU Parakh,28.0
55,2026-05-11,Delhi Capitals,12,T Stubbs,17.0
55,2026-05-11,Punjab Kings,11,Arshdeep Singh,58.0
55,2026-05-11,Punjab Kings,11,BJ Dwarshuis,31.0
55,2026-05-11,Punjab Kings,11,C Connolly,67.0
55,2026-05-11,Punjab Kings,11,M Jansen,8.0
55,2026-05-11,Punjab Kings,11,MP Stoinis,24.0
55,2026-05-11,Punjab Kings,11,P Dubey,8.0
55,2026-05-11,Punjab Kings,11,P Simran Singh,33.0
55,2026-05-11,Punjab Kings,11,Priyansh Arya,88.0
55,2026-05-11,Punjab Kings,11,SS Iyer,86.0
55,2026-05-11,Punjab Kings,11,Shashank Singh,2.0
55,2026-05-11,Punjab Kings,11,Suryansh Shedge,31.0
55,2026-05-11,Punjab Kings,11,YS Chahal,12.0
55,2026-05-11,Punjab Kings,11,Yash Thakur,56.0
