owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Marcus Stoinis,MP Stoinis,Punjab Kings,11,after,24.0
Nishant,Arshdeep Singh,Arshdeep Singh,Punjab Kings,11,after,58.0
Nishant,Mitchell Starc,MA Starc,Delhi Capitals,12,after,48.0
Nishant,Mukesh Kumar,Mukesh Kumar,Delhi Capitals,12,after,29.0
Nishant,Shreyas Iyer,SS Iyer,Punjab Kings,11,after,86.0
Om,Yuzvendra Chahal,YS Chahal,Punjab Kings,11,after,12.0
Prabhanjan,Axar Patel,AR Patel,Delhi Capitals,12,after,94.0
Prabhanjan,Cooper Connolly,C Connolly,Punjab Kings,11,after,67.0
Prabhanjan,Lungi Ngidi,L Ngidi,Delhi Capitals,12,after,0.0
Prabhanjan,Marco Jansen,M Jansen,Punjab Kings,11,after,8.0
Prabhanjan,Shashank Singh,Shashank Singh,Punjab Kings,11,after,2.0
Vaibhav,David Miller,DA Miller,Delhi Capitals,12,after,88.0
Vaibhav,Priyansh Arya,Priyansh Arya,Punjab Kings,11,after,88.0
Vaibhav,Tristan Stubbs,T Stubbs,Delhi Capitals,12,after,17.0
Vamsi,KL Rahul,KL Rahul,Delhi Capitals,12,after,15.0
Vamsi,Prabhsimran Singh,P Simran Singh,Punjab Kings,11,after,33.0
