match_number,match_date,team_name,team_game_number,player_name,points
56,2026-05-12,Gujarat Titans,12,Arshad Khan,4.0
56,2026-05-12,Gujarat Titans,12,B Sai Sudharsan,84.0
56,2026-05-12,Gujarat Titans,12,JC Buttler,58.0
56,2026-05-12,Gujarat Titans,12,JO Holder,100.0
56,2026-05-12,Gujarat Titans,12,K Rabada,93.0
56,2026-05-12,Gujarat Titans,12,M Prasidh Krishna,54.0
56,2026-05-12,Gujarat Titans,12,Mohammed Siraj,55.0
56,2026-05-12,Gujarat Titans,12,N Sindhu,43.0
56,2026-05-12,Gujarat Titans,12,R Tewatia,9.0
56,2026-05-12,Gujarat Titans,12,Rashid Khan,29.0
56,2026-05-12,Gujarat Titans,12,Shubman Gill,18.0
56,2026-05-12,Gujarat Titans,12,Washington Sundar,83.0
56,2026-05-12,Sunrisers Hyderabad,12,Abhishek Sharma,12.0
56,2026-05-12,Sunrisers Hyderabad,12,E Malinga,0.0
56,2026-05-12,Sunrisers Hyderabad,12,H Klaasen,36.0
56,2026-05-12,Sunrisers Hyderabad,12,Ishan Kishan,34.0
56,2026-05-12,Sunrisers Hyderabad,12,Nithish Kumar Reddy,6.0
56,2026-05-12,Sunrisers Hyderabad,12,PJ Cummins,59.0
56,2026-05-12,Sunrisers Hyderabad,12,PP Hinge,69.0
56,2026-05-12,Sunrisers Hyderabad,12,R Smaran,12.0
56,2026-05-12,Sunrisers Hyderabad,12,S Arora,23.0
56,2026-05-12,Sunrisers Hyderabad,12,Sakib Hussain,54.0
56,2026-05-12,Sunrisers Hyderabad,12,Shivang Kumar,8.0
56,2026-05-12,Sunrisers Hyderabad,12,TM Head,2.0
