owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Eshan Malinga,E Malinga,Sunrisers Hyderabad,12,after,0.0
Bhuvan,Prasidh Krishna,M Prasidh Krishna,Gujarat Titans,12,after,54.0
Bhuvan,Salil Arora,S Arora,Sunrisers Hyderabad,12,after,23.0
Bhuvan,Shivang Kumar,Shivang Kumar,Sunrisers Hyderabad,12,after,8.0
Bhuvan,Travis Head,TM Head,Sunrisers Hyderabad,12,after,2.0
Nishant,Washington Sundar,Washington Sundar,Gujarat Titans,12,after,83.0
Om,Jos Buttler,JC Buttler,Gujarat Titans,12,after,58.0
Om,Mohammed Siraj,Mohammed Siraj,Gujarat Titans,12,after,55.0
Prabhanjan,Nitish Kumar Reddy,Nithish Kumar Reddy,Sunrisers Hyderabad,12,after,6.0
Prabhanjan,Rashid Khan,Rashid Khan,Gujarat Titans,12,after,29.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,12,after,84.0
Sailesh,Abhishek Sharma,Abhishek Sharma,Sunrisers Hyderabad,12,after,12.0
Sailesh,Kagiso Rabada,K Rabada,Gujarat Titans,12,after,93.0
Vaibhav,Heinrich Klaasen,H Klaasen,Sunrisers Hyderabad,12,after,36.0
Vaibhav,Ishan Kishan,Ishan Kishan,Sunrisers Hyderabad,12,after,34.0
Vaibhav,Shubman Gill,Shubman Gill,Gujarat Titans,12,after,18.0
Vamsi,Jason Holder,JO Holder,Gujarat Titans,12,after,100.0
Vamsi,Pat Cummins,PJ Cummins,Sunrisers Hyderabad,12,after,59.0
Vamsi,Sakib Hussain,Sakib Hussain,Sunrisers Hyderabad,12,after,54.0
