owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Kartik Tyagi,Kartik Tyagi,Kolkata Knight Riders,11,after,91.0
Bhuvan,Sunil Narine,SP Narine,Kolkata Knight Riders,11,after,29.0
Bhuvan,Virat Kohli,V Kohli,Royal Challengers Bengaluru,12,after,148.0
Nishant,Jitesh Sharma,JM Sharma,Royal Challengers Bengaluru,12,after,21.0
Nishant,Rinku Singh,RK Singh,Kolkata Knight Riders,11,after,68.0
Om,Angkrish Raghuvanshi,A Raghuvanshi,Kolkata Knight Riders,11,after,100.0
Om,Bhuvneshwar Kumar,B Kumar,Royal Challengers Bengaluru,12,after,35.0
Om,Cameron Green,C Green,Kolkata Knight Riders,11,after,45.0
Om,Josh Hazlewood,JR Hazlewood,Royal Challengers Bengaluru,12,after,37.0
Om,Rajat Patidar,RM Patidar,Royal Challengers Bengaluru,12,after,17.0
Sailesh,Krunal Pandya,KH Pandya,Royal Challengers Bengaluru,12,after,4.0
Sailesh,Tim David,TH David,Royal Challengers Bengaluru,12,after,6.0
Sailesh,Vaibhav Arora,VG Arora,Kolkata Knight Riders,11,after,0.0
Vaibhav,Ajinkya Rahane,AM Rahane,Kolkata Knight Riders,11,after,46.0
Vaibhav,Devdutt Padikkal,D Padikkal,Royal Challengers Bengaluru,12,after,62.0
