owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Rohit Sharma,RG Sharma,Mumbai Indians,12,after,33.0
Nishant,Arshdeep Singh,Arshdeep Singh,Punjab Kings,12,after,12.0
Nishant,Shreyas Iyer,SS Iyer,Punjab Kings,12,after,9.0
Om,Will Jacks,WG Jacks,Mumbai Indians,12,after,49.0
Om,Yuzvendra Chahal,YS Chahal,Punjab Kings,12,after,37.0
Prabhanjan,Cooper Connolly,C Connolly,Punjab Kings,12,after,29.0
Prabhanjan,Marco Jansen,M Jansen,Punjab Kings,12,after,25.0
Prabhanjan,Naman Dhir,Naman Dhir,Mumbai Indians,12,after,15.0
Prabhanjan,Shashank Singh,Shashank Singh,Punjab Kings,12,after,6.0
Prabhanjan,Xavier Bartlett,XC Bartlett,Punjab Kings,12,after,28.0
Vaibhav,Priyansh Arya,Priyansh Arya,Punjab Kings,12,after,38.0
Vamsi,Jasprit Bumrah,JJ Bumrah,Mumbai Indians,12,after,4.0
Vamsi,Prabhsimran Singh,P Simran Singh,Punjab Kings,12,after,89.0
Vamsi,Tilak Varma,Tilak Varma,Mumbai Indians,12,after,111.0
