owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Anshul Kamboj,A Kamboj,Chennai Super Kings,12,after,-2.0
Nishant,Dewald Brevis,D Brevis,Chennai Super Kings,12,after,37.0
Nishant,Mukul Choudhary,Mukesh Choudhary,Chennai Super Kings,12,after,41.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,12,after,27.0
Nishant,Shivam Dube,S Dube,Chennai Super Kings,12,after,53.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,12,after,8.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,12,after,19.0
Prabhanjan,Josh Inglis,JP Inglis,Lucknow Super Giants,12,after,49.0
Prabhanjan,Rishabh Pant,RR Pant,Lucknow Super Giants,12,after,4.0
Sailesh,Aiden Markram,AK Markram,Lucknow Super Giants,12,after,12.0
Vaibhav,Mohammed Shami,Mohammed Shami,Lucknow Super Giants,12,after,27.0
Vamsi,Mitchell Marsh,MR Marsh,Lucknow Super Giants,12,after,139.0
Vamsi,Prince Yadav,Prince Yadav,Lucknow Super Giants,12,after,-2.0
