match_number,match_date,team_name,team_game_number,player_name,points
5,2026-04-01,Delhi Capitals,1,AR Patel,39.0
5,2026-04-01,Delhi Capitals,1,DA Miller,12.0
5,2026-04-01,Delhi Capitals,1,KL Rahul,10.0
5,2026-04-01,Delhi Capitals,1,Kuldeep Yadav,70.0
5,2026-04-01,Delhi Capitals,1,L Ngidi,91.0
5,2026-04-01,Delhi Capitals,1,Mukesh Kumar,16.0
5,2026-04-01,Delhi Capitals,1,N Rana,23.0
5,2026-04-01,Delhi Capitals,1,P Nissanka,5.0
5,2026-04-01,Delhi Capitals,1,Sameer Rizvi,97.0
5,2026-04-01,Delhi Capitals,1,T Natarajan,83.0
5,2026-04-01,Delhi Capitals,1,T Stubbs,68.0
5,2026-04-01,Delhi Capitals,1,V Nigam,4.0
5,2026-04-01,Lucknow Super Giants,1,A Badoni,2.0
5,2026-04-01,Lucknow Super Giants,1,A Nortje,2.0
5,2026-04-01,Lucknow Super Giants,1,AK Markram,18.0
5,2026-04-01,Lucknow Super Giants,1,Abdul Samad,59.0
5,2026-04-01,Lucknow Super Giants,1,MD Choudhary,20.0
5,2026-04-01,Lucknow Super Giants,1,MR Marsh,51.0
5,2026-04-01,Lucknow Super Giants,1,Mohammed Shami,32.0
5,2026-04-01,Lucknow Super Giants,1,Mohsin Khan,53.0
5,2026-04-01,Lucknow Super Giants,1,N Pooran,13.0
5,2026-04-01,Lucknow Super Giants,1,Prince Yadav,64.0
5,2026-04-01,Lucknow Super Giants,1,RR Pant,20.0
5,2026-04-01,Lucknow Super Giants,1,Shahbaz Ahmed,20.0
