owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Shahbaz Ahamad,Shahbaz Ahmed,Lucknow Super Giants,1,before,20.0
Nishant,Mukesh Kumar,Mukesh Kumar,Delhi Capitals,1,before,16.0
Prabhanjan,Axar Patel,AR Patel,Delhi Capitals,1,before,39.0
Prabhanjan,Lungi Ngidi,L Ngidi,Delhi Capitals,1,before,91.0
Prabhanjan,Pathum Nissanka,P Nissanka,Delhi Capitals,1,before,5.0
Prabhanjan,Rishabh Pant,RR Pant,Lucknow Super Giants,1,before,20.0
Sailesh,Aiden Markram,AK Markram,Lucknow Super Giants,1,before,18.0
Sailesh,Ayush Badoni,A Badoni,Lucknow Super Giants,1,before,2.0
Sailesh,Kuldeep Yadav,Kuldeep Yadav,Delhi Capitals,1,before,70.0
Sailesh,Nicholas Pooran,N Pooran,Lucknow Super Giants,1,before,13.0
Vaibhav,David Miller,DA Miller,Delhi Capitals,1,before,12.0
Vaibhav,Mohammed Shami,Mohammed Shami,Lucknow Super Giants,1,before,32.0
Vaibhav,Tristan Stubbs,T Stubbs,Delhi Capitals,1,before,68.0
Vamsi,KL Rahul,KL Rahul,Delhi Capitals,1,before,10.0
Vamsi,Mitchell Marsh,MR Marsh,Lucknow Super Giants,1,before,51.0
