owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Kartik Tyagi,Kartik Tyagi,Kolkata Knight Riders,12,after,-2.0
Bhuvan,Matheesha Pathirana,M Pathirana,Kolkata Knight Riders,12,after,4.0
Bhuvan,Sunil Narine,SP Narine,Kolkata Knight Riders,12,after,54.0
Nishant,Rinku Singh,RK Singh,Kolkata Knight Riders,12,after,4.0
Nishant,Washington Sundar,Washington Sundar,Gujarat Titans,13,after,4.0
Om,Angkrish Raghuvanshi,A Raghuvanshi,Kolkata Knight Riders,12,after,126.0
Om,Cameron Green,C Green,Kolkata Knight Riders,12,after,106.0
Om,Jos Buttler,JC Buttler,Gujarat Titans,13,after,82.0
Om,Mohammed Siraj,Mohammed Siraj,Gujarat Titans,13,after,31.0
Prabhanjan,Rashid Khan,Rashid Khan,Gujarat Titans,13,after,6.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,13,after,83.0
Sailesh,Kagiso Rabada,K Rabada,Gujarat Titans,13,after,2.0
Sailesh,Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,12,after,0.0
Vaibhav,Ajinkya Rahane,AM Rahane,Kolkata Knight Riders,12,after,21.0
Vaibhav,Shubman Gill,Shubman Gill,Gujarat Titans,13,after,122.0
Vamsi,Jason Holder,JO Holder,Gujarat Titans,13,after,4.0
