owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,12,after,84.0
Nishant,Brijesh Sharma,Brijesh Sharma,Rajasthan Royals,12,after,52.0
Nishant,Mitchell Starc,MA Starc,Delhi Capitals,13,after,126.0
Nishant,Mukesh Kumar,Mukesh Kumar,Delhi Capitals,13,after,-2.0
Om,Riyan Parag,R Parag,Rajasthan Royals,12,after,82.0
Om,Yashasvi Jaiswal,YBK Jaiswal,Rajasthan Royals,12,after,27.0
Prabhanjan,Axar Patel,AR Patel,Delhi Capitals,13,after,70.0
Prabhanjan,Donovan Ferreira,D Ferreira,Rajasthan Royals,12,after,10.0
Prabhanjan,Lungi Ngidi,L Ngidi,Delhi Capitals,13,after,66.0
Vaibhav,David Miller,DA Miller,Delhi Capitals,13,after,23.0
Vaibhav,Tristan Stubbs,T Stubbs,Delhi Capitals,13,after,16.0
Vaibhav,Vaibhav Sooryavanshi,V Suryavanshi,Rajasthan Royals,12,after,71.0
Vamsi,Jofra Archer,JC Archer,Rajasthan Royals,12,after,56.0
Vamsi,KL Rahul,KL Rahul,Delhi Capitals,13,after,77.0
