match_number,match_date,team_name,team_game_number,player_name,points
63,2026-05-18,Chennai Super Kings,13,A Kamboj,25.0
63,2026-05-18,Chennai Super Kings,13,AJ Hosein,34.0
63,2026-05-18,Chennai Super Kings,13,D Brevis,66.0
63,2026-05-18,Chennai Super Kings,13,Kartik Sharma,51.0
63,2026-05-18,Chennai Super Kings,13,Mukesh Choudhary,62.0
63,2026-05-18,Chennai Super Kings,13,Noor Ahmad,27.0
63,2026-05-18,Chennai Super Kings,13,PR Veer,17.0
63,2026-05-18,Chennai Super Kings,13,RD Gaikwad,19.0
63,2026-05-18,Chennai Super Kings,13,S Dube,35.0
63,2026-05-18,Chennai Super Kings,13,SH Johnson,12.0
63,2026-05-18,Chennai Super Kings,13,SV Samson,56.0
63,2026-05-18,Chennai Super Kings,13,Urvil Patel,37.0
63,2026-05-18,Sunrisers Hyderabad,13,Abhishek Sharma,35.0
63,2026-05-18,Sunrisers Hyderabad,13,E Malinga,47.0
63,2026-05-18,Sunrisers Hyderabad,13,H Klaasen,71.0
63,2026-05-18,Sunrisers Hyderabad,13,Ishan Kishan,105.0
63,2026-05-18,Sunrisers Hyderabad,13,Nithish Kumar Reddy,18.0
63,2026-05-18,Sunrisers Hyderabad,13,PJ Cummins,85.0
63,2026-05-18,Sunrisers Hyderabad,13,PP Hinge,31.0
63,2026-05-18,Sunrisers Hyderabad,13,R Smaran,10.0
63,2026-05-18,Sunrisers Hyderabad,13,S Arora,16.0
63,2026-05-18,Sunrisers Hyderabad,13,Sakib Hussain,70.0
63,2026-05-18,Sunrisers Hyderabad,13,Shivang Kumar,6.0
63,2026-05-18,Sunrisers Hyderabad,13,TM Head,11.0
