match_number,match_date,team_name,team_game_number,player_name,points
64,2026-05-19,Lucknow Super Giants,13,A Badoni,14.0
64,2026-05-19,Lucknow Super Giants,13,Abdul Samad,12.0
64,2026-05-19,Lucknow Super Giants,13,Akash Singh,23.0
64,2026-05-19,Lucknow Super Giants,13,DS Rathi,4.0
64,2026-05-19,Lucknow Super Giants,13,JP Inglis,91.0
64,2026-05-19,Lucknow Super Giants,13,MP Yadav,-2.0
64,2026-05-19,Lucknow Super Giants,13,MR Marsh,135.0
64,2026-05-19,Lucknow Super Giants,13,Mohsin Khan,29.0
64,2026-05-19,Lucknow Super Giants,13,N Pooran,26.0
64,2026-05-19,Lucknow Super Giants,13,Prince Yadav,2.0
64,2026-05-19,Lucknow Super Giants,13,RR Pant,61.0
64,2026-05-19,Lucknow Super Giants,13,Shahbaz Ahmed,4.0
64,2026-05-19,Rajasthan Royals,13,Brijesh Sharma,2.0
64,2026-05-19,Rajasthan Royals,13,D Ferreira,35.0
64,2026-05-19,Rajasthan Royals,13,Dhruv Jurel,82.0
64,2026-05-19,Rajasthan Royals,13,JC Archer,43.0
64,2026-05-19,Rajasthan Royals,13,LG Pretorius,11.0
64,2026-05-19,Rajasthan Royals,13,MD Shanaka,4.0
64,2026-05-19,Rajasthan Royals,13,SB Dubey,4.0
64,2026-05-19,Rajasthan Royals,13,SS Mishra,0.0
64,2026-05-19,Rajasthan Royals,13,Sandeep Sharma,-2.0
64,2026-05-19,Rajasthan Royals,13,V Suryavanshi,138.0
64,2026-05-19,Rajasthan Royals,13,YBK Jaiswal,79.0
64,2026-05-19,Rajasthan Royals,13,Yash Raj Punja,62.0
