owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,13,after,82.0
Nishant,Brijesh Sharma,Brijesh Sharma,Rajasthan Royals,13,after,2.0
Om,Yashasvi Jaiswal,YBK Jaiswal,Rajasthan Royals,13,after,79.0
Prabhanjan,Digvesh Rathi,DS Rathi,Lucknow Super Giants,13,after,4.0
Prabhanjan,Donovan Ferreira,D Ferreira,Rajasthan Royals,13,after,35.0
Prabhanjan,Josh Inglis,JP Inglis,Lucknow Super Giants,13,after,91.0
Prabhanjan,Rishabh Pant,RR Pant,Lucknow Super Giants,13,after,61.0
Sailesh,Ayush Badoni,A Badoni,Lucknow Super Giants,13,after,14.0
Vaibhav,Vaibhav Sooryavanshi,V Suryavanshi,Rajasthan Royals,13,after,138.0
Vamsi,Jofra Archer,JC Archer,Rajasthan Royals,13,after,43.0
Vamsi,Mitchell Marsh,MR Marsh,Lucknow Super Giants,13,after,135.0
Vamsi,Mohsin Khan,Mohsin Khan,Lucknow Super Giants,13,after,29.0
Vamsi,Prince Yadav,Prince Yadav,Lucknow Super Giants,13,after,2.0
