owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Kartik Tyagi,Kartik Tyagi,Kolkata Knight Riders,13,after,54.0
Bhuvan,Rohit Sharma,RG Sharma,Mumbai Indians,13,after,23.0
Bhuvan,Sunil Narine,SP Narine,Kolkata Knight Riders,13,after,43.0
Nishant,Rinku Singh,RK Singh,Kolkata Knight Riders,13,after,21.0
Om,Angkrish Raghuvanshi,A Raghuvanshi,Kolkata Knight Riders,13,after,12.0
Om,Cameron Green,C Green,Kolkata Knight Riders,13,after,66.0
Om,Will Jacks,WG Jacks,Mumbai Indians,13,after,21.0
Prabhanjan,Naman Dhir,Naman Dhir,Mumbai Indians,13,after,2.0
Sailesh,Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,13,after,12.0
Vaibhav,Ajinkya Rahane,AM Rahane,Kolkata Knight Riders,13,after,29.0
Vaibhav,Hardik Pandya,HH Pandya,Mumbai Indians,13,after,36.0
Vamsi,Allah Ghazanfar,AM Ghazanfar,Mumbai Indians,13,after,39.0
Vamsi,Jasprit Bumrah,JJ Bumrah,Mumbai Indians,13,after,39.0
Vamsi,Surya Kumar Yadav,SA Yadav,Mumbai Indians,13,after,23.0
Vamsi,Tilak Varma,Tilak Varma,Mumbai Indians,13,after,24.0
