owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Anshul Kamboj,A Kamboj,Chennai Super Kings,14,after,47.0
Bhuvan,Prasidh Krishna,M Prasidh Krishna,Gujarat Titans,14,after,20.0
Nishant,Dewald Brevis,D Brevis,Chennai Super Kings,14,after,12.0
Nishant,Mukul Choudhary,Mukesh Choudhary,Chennai Super Kings,14,after,31.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,14,after,2.0
Nishant,Shivam Dube,S Dube,Chennai Super Kings,14,after,81.0
Nishant,Washington Sundar,Washington Sundar,Gujarat Titans,14,after,13.0
Om,Jos Buttler,JC Buttler,Gujarat Titans,14,after,104.0
Om,Mohammed Siraj,Mohammed Siraj,Gujarat Titans,14,after,91.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,14,after,-1.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,14,after,37.0
Prabhanjan,Rashid Khan,Rashid Khan,Gujarat Titans,14,after,83.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,14,after,115.0
Sailesh,Kagiso Rabada,K Rabada,Gujarat Titans,14,after,91.0
Vaibhav,Shubman Gill,Shubman Gill,Gujarat Titans,14,after,115.0
Vamsi,Jason Holder,JO Holder,Gujarat Titans,14,after,14.0
