match_number,match_date,team_name,team_game_number,player_name,points
67,2026-05-22,Royal Challengers Bengaluru,14,B Kumar,-2.0
67,2026-05-22,Royal Challengers Bengaluru,14,D Padikkal,41.0
67,2026-05-22,Royal Challengers Bengaluru,14,JM Cox,8.0
67,2026-05-22,Royal Challengers Bengaluru,14,JM Sharma,4.0
67,2026-05-22,Royal Challengers Bengaluru,14,JR Hazlewood,-2.0
67,2026-05-22,Royal Challengers Bengaluru,14,KH Pandya,77.0
67,2026-05-22,Royal Challengers Bengaluru,14,R Shepherd,-2.0
67,2026-05-22,Royal Challengers Bengaluru,14,RM Patidar,78.0
67,2026-05-22,Royal Challengers Bengaluru,14,Rasikh Salam,56.0
67,2026-05-22,Royal Challengers Bengaluru,14,Suyash Sharma,25.0
67,2026-05-22,Royal Challengers Bengaluru,14,TH David,22.0
67,2026-05-22,Royal Challengers Bengaluru,14,V Kohli,23.0
67,2026-05-22,Royal Challengers Bengaluru,14,VR Iyer,78.0
67,2026-05-22,Sunrisers Hyderabad,14,Abhishek Sharma,104.0
67,2026-05-22,Sunrisers Hyderabad,14,E Malinga,54.0
67,2026-05-22,Sunrisers Hyderabad,14,H Klaasen,81.0
67,2026-05-22,Sunrisers Hyderabad,14,HV Patel,4.0
67,2026-05-22,Sunrisers Hyderabad,14,Ishan Kishan,111.0
67,2026-05-22,Sunrisers Hyderabad,14,Nithish Kumar Reddy,46.0
67,2026-05-22,Sunrisers Hyderabad,14,PJ Cummins,0.0
67,2026-05-22,Sunrisers Hyderabad,14,R Smaran,20.0
67,2026-05-22,Sunrisers Hyderabad,14,S Arora,4.0
67,2026-05-22,Sunrisers Hyderabad,14,Sakib Hussain,29.0
67,2026-05-22,Sunrisers Hyderabad,14,Shivang Kumar,-2.0
67,2026-05-22,Sunrisers Hyderabad,14,TM Head,64.0
