owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Marcus Stoinis,MP Stoinis,Punjab Kings,14,after,4.0
Nishant,Arshdeep Singh,Arshdeep Singh,Punjab Kings,14,after,-2.0
Nishant,Shreyas Iyer,SS Iyer,Punjab Kings,14,after,156.0
Nishant,Vyshak Vijaykumar,Vijaykumar Vyshak,Punjab Kings,14,after,4.0
Om,Yuzvendra Chahal,YS Chahal,Punjab Kings,14,after,56.0
Prabhanjan,Cooper Connolly,C Connolly,Punjab Kings,14,after,32.0
Prabhanjan,Digvesh Rathi,DS Rathi,Lucknow Super Giants,14,after,-2.0
Prabhanjan,Josh Inglis,JP Inglis,Lucknow Super Giants,14,after,101.0
Prabhanjan,Marco Jansen,M Jansen,Punjab Kings,14,after,70.0
Prabhanjan,Rishabh Pant,RR Pant,Lucknow Super Giants,14,after,33.0
Prabhanjan,Shashank Singh,Shashank Singh,Punjab Kings,14,after,29.0
Sailesh,Ayush Badoni,A Badoni,Lucknow Super Giants,14,after,68.0
Vaibhav,Mohammed Shami,Mohammed Shami,Lucknow Super Giants,14,after,58.0
Vaibhav,Priyansh Arya,Priyansh Arya,Punjab Kings,14,after,2.0
Vamsi,Mohsin Khan,Mohsin Khan,Lucknow Super Giants,14,after,0.0
Vamsi,Prabhsimran Singh,P Simran Singh,Punjab Kings,14,after,118.0
Vamsi,Prince Yadav,Prince Yadav,Lucknow Super Giants,14,after,2.0
