match_number,match_date,team_name,team_game_number,player_name,points
6,2026-04-02,Kolkata Knight Riders,2,A Raghuvanshi,80.0
6,2026-04-02,Kolkata Knight Riders,2,AM Rahane,20.0
6,2026-04-02,Kolkata Knight Riders,2,AS Roy,27.0
6,2026-04-02,Kolkata Knight Riders,2,B Muzarabani,110.0
6,2026-04-02,Kolkata Knight Riders,2,C Green,14.0
6,2026-04-02,Kolkata Knight Riders,2,CV Varun,12.0
6,2026-04-02,Kolkata Knight Riders,2,FH Allen,40.0
6,2026-04-02,Kolkata Knight Riders,2,Kartik Tyagi,31.0
6,2026-04-02,Kolkata Knight Riders,2,RK Singh,67.0
6,2026-04-02,Kolkata Knight Riders,2,Ramandeep Singh,23.0
6,2026-04-02,Kolkata Knight Riders,2,SP Narine,20.0
6,2026-04-02,Kolkata Knight Riders,2,VG Arora,59.0
6,2026-04-02,Sunrisers Hyderabad,2,Abhishek Sharma,74.0
6,2026-04-02,Sunrisers Hyderabad,2,Aniket Verma,13.0
6,2026-04-02,Sunrisers Hyderabad,2,DA Payne,-2.0
6,2026-04-02,Sunrisers Hyderabad,2,E Malinga,82.0
6,2026-04-02,Sunrisers Hyderabad,2,H Klaasen,72.0
6,2026-04-02,Sunrisers Hyderabad,2,Harsh Dubey,48.0
6,2026-04-02,Sunrisers Hyderabad,2,Ishan Kishan,29.0
6,2026-04-02,Sunrisers Hyderabad,2,JD Unadkat,109.0
6,2026-04-02,Sunrisers Hyderabad,2,Nithish Kumar Reddy,115.0
6,2026-04-02,Sunrisers Hyderabad,2,S Arora,2.0
6,2026-04-02,Sunrisers Hyderabad,2,Shivang Kumar,13.0
6,2026-04-02,Sunrisers Hyderabad,2,TM Head,72.0
