match_number,match_date,team_name,team_game_number,player_name,points
7,2026-04-03,Chennai Super Kings,2,A Kamboj,50.0
7,2026-04-03,Chennai Super Kings,2,A Mhatre,107.0
7,2026-04-03,Chennai Super Kings,2,KK Ahmed,4.0
7,2026-04-03,Chennai Super Kings,2,Kartik Sharma,5.0
7,2026-04-03,Chennai Super Kings,2,MJ Henry,64.0
7,2026-04-03,Chennai Super Kings,2,Noor Ahmad,12.0
7,2026-04-03,Chennai Super Kings,2,PR Veer,11.0
7,2026-04-03,Chennai Super Kings,2,RD Chahar,8.0
7,2026-04-03,Chennai Super Kings,2,RD Gaikwad,40.0
7,2026-04-03,Chennai Super Kings,2,S Dube,64.0
7,2026-04-03,Chennai Super Kings,2,SN Khan,60.0
7,2026-04-03,Chennai Super Kings,2,SV Samson,12.0
7,2026-04-03,Punjab Kings,2,Arshdeep Singh,2.0
7,2026-04-03,Punjab Kings,2,C Connolly,56.0
7,2026-04-03,Punjab Kings,2,M Jansen,35.0
7,2026-04-03,Punjab Kings,2,MP Stoinis,15.0
7,2026-04-03,Punjab Kings,2,N Wadhera,32.0
7,2026-04-03,Punjab Kings,2,P Simran Singh,67.0
7,2026-04-03,Punjab Kings,2,Priyansh Arya,64.0
7,2026-04-03,Punjab Kings,2,SS Iyer,78.0
7,2026-04-03,Punjab Kings,2,Shashank Singh,20.0
7,2026-04-03,Punjab Kings,2,Vijaykumar Vyshak,54.0
7,2026-04-03,Punjab Kings,2,XC Bartlett,25.0
7,2026-04-03,Punjab Kings,2,YS Chahal,39.0
