owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Kartik Sharma,Kartik Sharma,Chennai Super Kings,2,before,5.0
Bhuvan,Marcus Stoinis,MP Stoinis,Punjab Kings,2,before,15.0
Bhuvan,Prashant Veer,PR Veer,Chennai Super Kings,2,before,11.0
Nishant,Arshdeep Singh,Arshdeep Singh,Punjab Kings,2,before,2.0
Nishant,Ayush Mhatre,A Mhatre,Chennai Super Kings,2,before,107.0
Nishant,Nehal Wadhera,N Wadhera,Punjab Kings,2,before,32.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,2,before,12.0
Nishant,Shivam Dube,S Dube,Chennai Super Kings,2,before,64.0
Nishant,Shreyas Iyer,SS Iyer,Punjab Kings,2,before,78.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,2,before,12.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,2,before,40.0
Om,Yuzvendra Chahal,YS Chahal,Punjab Kings,2,before,39.0
Prabhanjan,Khaleel Ahmed,KK Ahmed,Chennai Super Kings,2,before,4.0
Prabhanjan,Marco Jansen,M Jansen,Punjab Kings,2,before,35.0
Vaibhav,Priyansh Arya,Priyansh Arya,Punjab Kings,2,before,64.0
Vamsi,Prabhsimran Singh,P Simran Singh,Punjab Kings,2,before,67.0
