match_number,match_date,team_name,team_game_number,player_name,points
8,2026-04-04,Delhi Capitals,2,AR Patel,41.0
8,2026-04-04,Delhi Capitals,2,DA Miller,29.0
8,2026-04-04,Delhi Capitals,2,KL Rahul,5.0
8,2026-04-04,Delhi Capitals,2,Kuldeep Yadav,2.0
8,2026-04-04,Delhi Capitals,2,L Ngidi,37.0
8,2026-04-04,Delhi Capitals,2,Mukesh Kumar,70.0
8,2026-04-04,Delhi Capitals,2,N Rana,10.0
8,2026-04-04,Delhi Capitals,2,P Nissanka,62.0
8,2026-04-04,Delhi Capitals,2,Sameer Rizvi,129.0
8,2026-04-04,Delhi Capitals,2,T Natarajan,29.0
8,2026-04-04,Delhi Capitals,2,T Stubbs,15.0
8,2026-04-04,Delhi Capitals,2,V Nigam,29.0
8,2026-04-04,Mumbai Indians,2,C Bosch,36.0
8,2026-04-04,Mumbai Indians,2,DL Chahar,31.0
8,2026-04-04,Mumbai Indians,2,JJ Bumrah,20.0
8,2026-04-04,Mumbai Indians,2,M Markande,10.0
8,2026-04-04,Mumbai Indians,2,MJ Santner,51.0
8,2026-04-04,Mumbai Indians,2,Naman Dhir,38.0
8,2026-04-04,Mumbai Indians,2,RD Rickelton,23.0
8,2026-04-04,Mumbai Indians,2,RG Sharma,52.0
8,2026-04-04,Mumbai Indians,2,SA Yadav,72.0
8,2026-04-04,Mumbai Indians,2,SE Rutherford,10.0
8,2026-04-04,Mumbai Indians,2,SN Thakur,-2.0
8,2026-04-04,Mumbai Indians,2,Tilak Varma,10.0
