owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Rohit Sharma,RG Sharma,Mumbai Indians,2,before,52.0
Nishant,Mukesh Kumar,Mukesh Kumar,Delhi Capitals,2,before,70.0
Nishant,Sherfane Rutherford,SE Rutherford,Mumbai Indians,2,before,10.0
Prabhanjan,Axar Patel,AR Patel,Delhi Capitals,2,before,41.0
Prabhanjan,Lungi Ngidi,L Ngidi,Delhi Capitals,2,before,37.0
Prabhanjan,Mitchell Santner,MJ Santner,Mumbai Indians,2,before,51.0
Prabhanjan,Naman Dhir,Naman Dhir,Mumbai Indians,2,before,38.0
Prabhanjan,Pathum Nissanka,P Nissanka,Delhi Capitals,2,before,62.0
Sailesh,Kuldeep Yadav,Kuldeep Yadav,Delhi Capitals,2,before,2.0
Vaibhav,David Miller,DA Miller,Delhi Capitals,2,before,29.0
Vaibhav,Tristan Stubbs,T Stubbs,Delhi Capitals,2,before,15.0
Vamsi,Jasprit Bumrah,JJ Bumrah,Mumbai Indians,2,before,20.0
Vamsi,KL Rahul,KL Rahul,Delhi Capitals,2,before,5.0
Vamsi,Surya Kumar Yadav,SA Yadav,Mumbai Indians,2,before,72.0
Vamsi,Tilak Varma,Tilak Varma,Mumbai Indians,2,before,10.0
