match_number,match_date,team_name,team_game_number,player_name,points
9,2026-04-04,Gujarat Titans,2,Ashok Sharma,29.0
9,2026-04-04,Gujarat Titans,2,B Sai Sudharsan,104.0
9,2026-04-04,Gujarat Titans,2,GD Phillips,23.0
9,2026-04-04,Gujarat Titans,2,JC Buttler,49.0
9,2026-04-04,Gujarat Titans,2,K Rabada,90.0
9,2026-04-04,Gujarat Titans,2,Kumar Kushagra,33.0
9,2026-04-04,Gujarat Titans,2,M Prasidh Krishna,27.0
9,2026-04-04,Gujarat Titans,2,M Shahrukh Khan,18.0
9,2026-04-04,Gujarat Titans,2,Mohammed Siraj,33.0
9,2026-04-04,Gujarat Titans,2,R Tewatia,19.0
9,2026-04-04,Gujarat Titans,2,Rashid Khan,60.0
9,2026-04-04,Gujarat Titans,2,Washington Sundar,9.0
9,2026-04-04,Rajasthan Royals,2,D Ferreira,5.0
9,2026-04-04,Rajasthan Royals,2,Dhruv Jurel,122.0
9,2026-04-04,Rajasthan Royals,2,JC Archer,21.0
9,2026-04-04,Rajasthan Royals,2,N Burger,29.0
9,2026-04-04,Rajasthan Royals,2,R Parag,39.0
9,2026-04-04,Rajasthan Royals,2,RA Jadeja,20.0
9,2026-04-04,Rajasthan Royals,2,Ravi Bishnoi,110.0
9,2026-04-04,Rajasthan Royals,2,SO Hetmyer,35.0
9,2026-04-04,Rajasthan Royals,2,Sandeep Sharma,8.0
9,2026-04-04,Rajasthan Royals,2,TU Deshpande,37.0
9,2026-04-04,Rajasthan Royals,2,V Suryavanshi,52.0
9,2026-04-04,Rajasthan Royals,2,YBK Jaiswal,83.0
