owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,2,before,122.0
Bhuvan,Prasidh Krishna,M Prasidh Krishna,Gujarat Titans,2,before,27.0
Bhuvan,Ravindra Jadeja,RA Jadeja,Rajasthan Royals,2,before,20.0
Nishant,Nandre Burger,N Burger,Rajasthan Royals,2,before,29.0
Nishant,Shahrukh Khan,M Shahrukh Khan,Gujarat Titans,2,before,18.0
Nishant,Washington Sundar,Washington Sundar,Gujarat Titans,2,before,9.0
Om,Jos Buttler,JC Buttler,Gujarat Titans,2,before,49.0
Om,Mohammed Siraj,Mohammed Siraj,Gujarat Titans,2,before,33.0
Om,Rahul Tewatia,R Tewatia,Gujarat Titans,2,before,19.0
Om,Vaibhav Sooryavanshi,V Suryavanshi,Rajasthan Royals,2,before,52.0
Om,Yashasvi Jaiswal,YBK Jaiswal,Rajasthan Royals,2,before,83.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,2,before,104.0
Sailesh,Kagiso Rabada,K Rabada,Gujarat Titans,2,before,90.0
Sailesh,Rashid Khan,Rashid Khan,Gujarat Titans,2,before,60.0
Vaibhav,Ravi Bishnoi,Ravi Bishnoi,Rajasthan Royals,2,before,110.0
Vaibhav,Riyan Parag,R Parag,Rajasthan Royals,2,before,39.0
Vamsi,Glenn Phillips,GD Phillips,Gujarat Titans,2,before,23.0
Vamsi,Jofra Archer,JC Archer,Rajasthan Royals,2,before,21.0
Vamsi,Sandeep Sharma,Sandeep Sharma,Rajasthan Royals,2,before,8.0
Vamsi,Shimron Hetmyer,SO Hetmyer,Rajasthan Royals,2,before,35.0
